,AreaCode,Asymp,HH,CC,MM
0,E06000047,0.31917851648980466,0.2875732350592211,0.3063764602047175,0.1353991698702651
1,E06000005,0.32109404985135803,0.284433036131003,0.3034310059735764,0.1364810529548905
2,E06000001,0.3255779689501128,0.2787527553062909,0.3000485588560339,0.1304851525106781
3,E06000002,0.3431101435757779,0.25478084926333266,0.28462485576743396,0.11152040339013765
4,E06000057,0.30363371090787195,0.31134226564920886,0.32016461934127244,0.15811162440852744
5,E06000003,0.31596549410980895,0.2947014712373422,0.30914368476380266,0.14813387607210488
6,E06000004,0.32968573992322325,0.27247749231239227,0.29649828806041656,0.12194660539160429
7,E08000037,0.322460764482372,0.2810206955010733,0.30266739752468097,0.1336900561422227
8,E08000021,0.3482690702420539,0.2391749008420791,0.27786521898900324,0.09927972445445708
9,E08000022,0.31836095649716256,0.2873223962734046,0.3061727125744831,0.13445809137417505
10,E08000023,0.3192296420187926,0.28693961698525,0.30560497192399677,0.13526204668358918
11,E08000024,0.32228572523274207,0.28317009964704337,0.3039917557595509,0.13104559553117948
12,E06000008,0.34900708439900646,0.24565526983797667,0.2793198034159645,0.09548545297298713
13,E06000009,0.32152490176896276,0.28503200095350084,0.3033455647417776,0.13685473059436032
14,E06000049,0.3111106363553832,0.29982253626906813,0.3122931052802616,0.15218863720351486
15,E06000050,0.3170270618449845,0.29087290235919494,0.30732810247819514,0.14257205800702832
16,E06000006,0.3298007069930714,0.2731770306922224,0.2972283110509134,0.11591772107792679
17,E06000007,0.3248639245880563,0.2783066579467102,0.30081359448707884,0.12354394637965026
18,E07000026,0.30507688782878334,0.3090100047279769,0.318328093249055,0.15990341305891903
19,E07000027,0.3161914923903273,0.29321704359233464,0.30918827730397325,0.1411813221396864
20,E07000028,0.31531765614868484,0.2929636379731745,0.30866730778292967,0.1440396672529753
21,E07000029,0.30952984013347745,0.3026986861021354,0.3152500582856012,0.1480778462790366
22,E07000030,0.29391016303083006,0.32451137510320527,0.3278186354088783,0.17343279233256256
23,E07000031,0.29070342122757076,0.32989745664440223,0.330509564467694,0.18633531991765417
24,E08000001,0.3375822790798274,0.2623540666710272,0.2893881882860381,0.11313437201959341
25,E08000002,0.3310939875510173,0.27047952428204336,0.29486281657928687,0.11990307998715595
26,E08000003,0.36829400367973086,0.20794714967849967,0.2595927254936153,0.06301218823413166
27,E08000004,0.34440406121256184,0.25278469388627095,0.2829804399943011,0.10587021676534249
